Nombre_bottom,Cantidad_Imágenes,Imagen1,Imagen2,Imagen3,Imagen4
CHOCO CHOCOLATE,,"
https://res.cloudinary.com/maaji/image/upload/v1542507770/Summer2018/2144SBC01_2144SCC01_multicolor_1.jpg



check
:
0
}


https://res.cloudinary.com/maaji/image/upload/v1542507771/Summer2018/2144SBC01_2144SCC01_multicolor_2.jpg
",,,
GOOSEBERRY SUBLIME,,"
https://res.cloudinary.com/maaji/image/upload/v1542508532/Summer2018/3007SAC07_3007SBC07_3007SCC07_3007SDC07_pink_1.jpg



check
:
0
}


https://res.cloudinary.com/maaji/image/upload/v1542508532/Summer2018/3007SAC07_3007SBC07_3007SCC07_3007SDC07_pink_2.jpg



check
:
0
}


https://res.cloudinary.com/maaji/image/upload/v1542508533/Summer2018/3007SAC07_3007SBC07_3007SCC07_3007SDC07_pink_3.jpg



check
:
0
}


https://res.cloudinary.com/maaji/image/upload/v1542508534/Summer2018/3007SAC07_3007SBC07_3007SCC07_3007SDC07_pink_4.jpg
",,,
MOONLESS NIGHT SUBLIME,3,https://res.cloudinary.com/maaji/image/upload/v1542507902/Summer2018/3007SAC10_3007SBC10_3007SCC10_3007SDC10_black_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542507902/Summer2018/3007SAC10_3007SBC10_3007SCC10_3007SDC10_black_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542507903/Summer2018/3007SAC10_3007SBC10_3007SCC10_3007SDC10_black_3.jpg,
MOONLESS NIGHT SUNNY,4,https://res.cloudinary.com/maaji/image/upload/v1542507951/Summer2018/3044SBC03_3044SCC03_black_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542507952/Summer2018/3044SBC03_3044SCC03_black_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542507953/Summer2018/3044SBC03_3044SCC03_black_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1542507953/Summer2018/3044SBC03_3044SCC03_black_4.jpg
AZALEA GIANT STAR,2,https://res.cloudinary.com/maaji/image/upload/v1543102284/Rapsodia/2061SBC505_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102284/Rapsodia/2061SBC505_red_2.jpg,,
DAHLIA SUNLIT,2,https://res.cloudinary.com/maaji/image/upload/v1543102353/Rapsodia/2130SCC504_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102353/Rapsodia/2130SCC504_red_2.jpg,,
MARIGOLD VELA,2,https://res.cloudinary.com/maaji/image/upload/v1543102420/Rapsodia/2247SBC502_brown_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102421/Rapsodia/2247SBC502_brown_2.jpg,,
CARMINE ROSES,2,https://res.cloudinary.com/maaji/image/upload/v1543102769/Rapsodia/2286SBC500_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102473/Rapsodia/2286SBC500_red_2.jpg,,
BIAZING LOVE SIENNA,2,https://res.cloudinary.com/maaji/image/upload/v1543102476/Rapsodia/2288SBC500_red_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102552/Rapsodia/2288SBC500_red_2.jpg,,
SUNBEAM SIENNA,2,https://res.cloudinary.com/maaji/image/upload/v1543102662/Rapsodia/3039SBC501_brown_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102663/Rapsodia/3039SBC501_brown_2.jpg,,
PRIMROSE SIENNA,2,https://res.cloudinary.com/maaji/image/upload/v1543102599/Rapsodia/3007SBC508_brown_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1543102599/Rapsodia/3007SBC508_brown_2.jpg,,
FUNKY CARIOCA,2,https://res.cloudinary.com/maaji/image/upload/v1542894427/Spring2019/2116SBC05_2116SDC05_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894427/Spring2019/2116SBC05_2116SDC05_BLUE_2.jpg,,
JEN-CHEE LINDA,2,https://res.cloudinary.com/maaji/image/upload/v1542894507/Spring2019/2024SAC11_2024SBC11_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894510/Spring2019/2024SAC11_2024SBC11_BLUE_2.jpg,,
CIELO BRANCO,2,https://res.cloudinary.com/maaji/image/upload/v1542894581/Spring2019/2240SBC01_2240SCC01_WHITE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894582/Spring2019/2240SBC01_2240SCC01_WHITE_2.jpg,,
PRAIA DU FORTE,2,https://res.cloudinary.com/maaji/image/upload/v1542894634/Spring2019/2242SBC01_2242SCC01_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894637/Spring2019/2242SBC01_2242SCC01_BLUE_2.jpg,,
ATLANTIC AVENUE,2,https://res.cloudinary.com/maaji/image/upload/v1542894691/Spring2019/2243SBC01_2243SCC01_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894692/Spring2019/2243SBC01_2243SCC01_BLUE_2.jpg,,
JERI ALLURE,2,https://res.cloudinary.com/maaji/image/upload/v1542894734/Spring2019/2024SAC12_2024SBC12_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894735/Spring2019/2024SAC12_2024SBC12_BLUE_2.jpg,,
CURUBA SURFER,2,https://res.cloudinary.com/maaji/image/upload/v1542895041/Spring2019/2061SBC12_2061SCC12_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542895041/Spring2019/2061SBC12_2061SCC12_BLUE_2.jpg,,
OLIVEIRA FRILLS,2,https://res.cloudinary.com/maaji/image/upload/v1542895401/Spring2019/2110SBC08_2110SCC08_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542895404/Spring2019/2110SBC08_2110SCC08_BLUE_2.jpg,,
WEDGEWOOD SPLIT,4,https://res.cloudinary.com/maaji/image/upload/v1542894174/Spring2019/3079SBC03_3079SDC03_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894180/Spring2019/3079SBC03_3079SDC03_BLUE_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894182/Spring2019/3079SBC03_3079SDC03_BLUE_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894182/Spring2019/3079SBC03_3079SDC03_BLUE_4.jpg
WEDGEWOOD SUBLIME,4,https://res.cloudinary.com/maaji/image/upload/v1542894023/Spring2019/3007SAC33_3007SBC33_3007SCC33_3007SDC33_BLUE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894088/Spring2019/3007SAC33_3007SBC33_3007SCC33_3007SDC33_BLUE_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894089/Spring2019/3007SAC33_3007SBC33_3007SCC33_3007SDC33_BLUE_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894092/Spring2019/3007SAC33_3007SBC33_3007SCC33_3007SDC33_BLUE_4.jpg
WHISPER WHITE CASCADE,4,https://res.cloudinary.com/maaji/image/upload/v1542894335/Spring2019/3008SCC04_WHITE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894336/Spring2019/3008SCC04_WHITE_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894337/Spring2019/3008SCC04_WHITE_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894337/Spring2019/3008SCC04_WHITE_4.jpg
WHISPER WHITE SUBLIME,4,https://res.cloudinary.com/maaji/image/upload/v1542894277/Spring2019/3007SAC34_3007SBC34_3007SCC34_3007SDC34_WHITE_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894278/Spring2019/3007SAC34_3007SBC34_3007SCC34_3007SDC34_WHITE_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894279/Spring2019/3007SAC34_3007SBC34_3007SCC34_3007SDC34_WHITE_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1542894279/Spring2019/3007SAC34_3007SBC34_3007SCC34_3007SDC34_WHITE_4.jpg
